"name";"url";"neighborhood";"district";"categories";"ownership";"type_group";"region";"city";"state";"location";"location_geo";"latitude";"longitude";"address";"area_code";"activity_level";"audience_size";"image";"description";"contact";"email";"source";"calendar_url"
"14th Ave NW Visioning Project";"http://www.14avenw.org/";"Ballard";"Ballard";"road development";"community";"website";"NW";"Seattle";"WA";"This is a long description of location field.";"(55.0001,-122.0001)";55.000001;-122.00001;"This is an address field.";510;"Multiple Daily";"1000-10000";"http://example.com/image.jpg";"This is a description field.";"Contact Name First Last";"email@example.com";"City of Seattle";"http://example.com/calendar_url"
"At Large in Ballard";"http://blog.seattlepi.com/ballard/";"Ballard";"Ballard";"news, human interest";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Avenue";"http://www.ballardavenue.blogspot.com/";"Ballard";"Ballard";"personal ballard-centric blog";"community";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Blog";"http://ballardblog.com/";"Ballard";"Ballard";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Chamber of Commerce";"http://www.ballardchamber.com/";"Ballard";"Ballard";"chamber of commerce";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard District Council";"http://www.ballarddistrictcouncil.org/";"Ballard";"Ballard";"district council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Gossip Girl";"http://www.ballardgossipgirl.com/";"Ballard";"Ballard";"restaurants, nightlife, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Historical Society";"http://www.ballardhistory.org/";"Ballard";"Ballard";"historical society";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Moms";"http://groups.yahoo.com/group/BallardMoms/";"Ballard";"Ballard";"Ballard parents";"community";"email list";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Neighbor Connection";"http://groups.yahoo.com/group/BallardNeighborConnection/";"Ballard";"Ballard";"neighborhood residents";"community";"email list";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"ballardite blog";"http://www.ballardite.blogspot.com/";"Ballard";"Ballard";"news, personal";"personal";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Central Ballard Community Council";"http://www.neighborhoodlink.com/seattle/cbcc/";"Ballard";"Ballard";"community council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Crown Hill Neighbors";"http://www.crownhillneighbors.org";"Crown Hill";"Ballard";"neighborhood-issues, neighborhood-planning, news";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"East Ballard Community Association Blog";"http://eastballard.wordpress.com/";"Ballard";"Ballard";"community association, news, events, meeting";"community";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"InBallard";"http://inballard.com/";"Ballard";"Ballard";"food, nightlife, shopping, services";"commercial";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"MyBallard";"http://www.myballard.com/";"Ballard";"Ballard";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Shilshole Blog";"http://shilsholecommunity.org/";"Ballard";"Ballard";"news, weather, events, criminal activity";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Sustainable Ballard";"http://sustainableballard.org/wiki/index.php?title=Welcome_to_Sustainable_Ballard!";"Ballard";"Ballard";"community group";"community";"wiki";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Sustainable Crown Hill";"http://sustainablecrownhill.org/wp/";"Crown Hill";"Ballard";"community group, has mailing list";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Walkable Crown Hill";"http://walkablecrownhill.org/";"Crown Hill";"Ballard";"neighborhood group";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Central Area Community Festival Association";"http://www.cacf.com/";"Central District";"Central";"festival planning association";"community";"website";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Central District News";"http://www.centraldistrictnews.com/";"Central District";"Central";"news, events, food, drink, reviews";"commercial";"blog";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Friends of Frink Park";"http://www.frinkpark.org/";"Central District";"Central";"park issues";"community";"website";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Leschi Community Council";"http://groups.google.com/group/LeschiCC?hl=en";"Leschi";"Central";"planning, meeting times";"community";"email list";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Madrona Moms";"http://health.groups.yahoo.com/group/MadronaMoms/";"Madrona";"Central";"community group (moms)";"community";"email list";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Madrona Neighborhood";"http://madrona.wetpaint.com/";"Madrona";"Central";"neighborhood community site: buying/selling, restaurants, favorite places, etc.  Also community association meeting minutes";"community";"wiki";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Squire Park Community Council";"http://groups.yahoo.com/group/squirepark/";"Central District";"Central";"community group";"community";"email list";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Squire Park Community Council";"http://www.squirepark.org/";"Central District";"Central";"community group";"community";"blog";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Community Harvest of Southwest Seattle";"http://gleanit.org";"West Seattle";"Delridge";"sustainable food";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Delridge Grassroots Leadership";"http://delridge.blogspot.com/";"Delridge";"Delridge";"community organization";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Delridge Neighborhoods Development Association";"http://www.dnda.org/";"Delridge";"Delridge";"neighborhood association";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Delridge Produce Cooperative";"http://sites.google.com/site/delridgeproducecooperative/";"Delridge";"Delridge";"produce coop";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Highland Park Action Committee";"http://www.highlandpk.net/";"Highland Park";"Delridge";"community group";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Highland Park Improvement Club";"http://www.hpic1919.org/";"Highland Park";"Delridge";"neighborhood group";"community";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Longfellow Creek Community Website";"http://www.longfellowcreek.org/";"Delridge";"Delridge";"watershed info";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Nature Consortium";"http://www.naturec.org";"Delridge";"Delridge";"environmental conservation";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"North Delridge Neighborhood Council";"http://ndnc.org/";"Delridge";"Delridge";"events calendar";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Pigeon Point Neighborhood Council";"http://www.pigeonpoint.org/";"Pigeon Point";"Delridge";"neighborhood council";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Westwood Neighborhood Council";"http://www.scn.org/neighbors/westwood/";"Westwood";"Delridge";"neighborhood council";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"White Center Community Development Association";"http://www.wccda.org/home";"White Center";"Delridge";"nonprofit";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"White Center Community Development Association blog";"http://twitter.com/whitecentercda";"White Center";"Delridge";"nonprofit";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"White Center Now";"http://whitecenternow.com/";"White Center";"Delridge";"news, events, food";"community";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Youngstown Cultural Arts Center";"http://youngstownarts.org";"Delridge";"Delridge";"arts";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"All About Belltown";"http://www.belltown.org/";"Belltown";"Downtown";"lifestyle; linked to cmty and bus associations";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"belltown";"http://www.belltownpeople.com/";"Belltown";"Downtown";"news, events";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Belltown Community Council";"http://www.belltowncommunitycouncil.org/";"Belltown";"Downtown";"community council";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Chinatown/International District";"http://www.cidbia.org/";"International District";"Downtown";"business improvement association";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Chinese Information and Service Center";"http://www.cisc-seattle.org/";"International District";"Downtown";"referral, advocacy, support services";"nonprofit";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Downtown Dispatch";"http://downtowndispatch.com/";"Downtown";"Downtown";"news and events";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Downtown Seattle Association";"http://www.downtownseattle.com/";"Downtown";"Downtown";"business association";;"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Downtown";"http://downtown.komonews.com";"Downtown";"Downtown";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Pioneer Square Community Association";"http://www.pioneersquare.org/";"Pioneer Square";"Downtown";"community organization";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"SCIPDA";"http://www.scidpda.org/";"International District";"Downtown";"public development authority";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Seattle Chinatown Guide";"http://www.chinatownconnection.com/seattle-chinatown-international-district.htm";"International District";"Downtown";"food, shopping";"commercial";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"SoDo Business Association";"http://www.sodobusinessassociation.org/";"SoDo";"Downtown";"business association";"community";"website";"S";"Seattle";"WA";;;;;;;;;;;;;;
"Wing Luke Asian Museum";"http://www.wingluke.org/";"International District";"Downtown";"museum";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"15th Ave Community";"http://groups.yahoo.com/group/15thAve_Community/";"Capitol Hill";"East";"15th avenue residents";"community";"email list";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Capitol Hill Community Council";"http://chcc.wikidot.com/";"Capitol Hill";"East";"community council, news, events";"community";"wiki";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Capitol Hill Housing";"http://capitolhillhousing.org/";"Capitol Hill";"East";"affordable housing";"community";"website";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Capitol Hill Triangle";"http://chtriangle.blogspot.com/";"Capitol Hill";"East";"local miscellany ";"commercial";"blog";"E";"Seattle";"WA";;;;;;;;;;;;;;
"CHS Capitol Hill Seattle Blog";"http://www.capitolhillseattle.com/";"Capitol Hill";"East";"news, events, food, drink, criminal activity";"commercial";"blog";"E";"Seattle";"WA";;;;;;;;;;;;;;
"First Hill Improvement Association";"http://www.firsthill.org/";"First Hill";"East";"neighborhood association";"community";"website";"E";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Captol Hill";"http://capitolhill.komonews.com";"Capitol Hill";"East";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"E";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Central District";"http://centraldistrict.komonews.com";"Central District";"East";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"E ";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Madison Park";"http://madisonpark.komonews.com";"Madison Park";"East";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Madison Park Blogger";"http://madisonparkblogger.blogspot.com/";"Madison Park";"East";"news, housing prices, events";"commercial";"blog";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Madison Park Business Association";"http://www.madisonparkseattle.com/";"Madison Park";"East";"business association";"community";"website";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Miller Park Neighborhood Association";"http://millerparkseattle.blogspot.com/";"Miller Park";"East";"neighborhood association; news, events";"community";"blog";"E";"Seattle";"WA";;;;;;;;;;;;;;
"North Capitol Hill Neighborhood Association";"http://www.nchna.com/";"Capitol Hill";"East";"meeting notes, relevant news";"community";"website";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Seattle Central Community College";"http://seattlecentral.edu/";"Capitol Hill";"East";"college";;"website";"E";"Seattle";"WA";;;;;;;;;;;;;;
"Your Capitol Hill";"http://www.yourcapitolhill.com/";"Capitol Hill";"East";"dining, events, nightlife, shopping";"community";"website";"E";"Seattle";"WA";;;;;;;;;;;;;;
"All About South Park";"http://www.allaboutsouthpark.com/";"South Park";"Greater Duwamish";"neighborhood info";"community";"website";"S";"Seattle";"WA";;;;;;;;;;;;;;
"Beacon Hill Alliance of Neighbors";"http://www.cityofseattle.net/ban/";"Beacon Hill";"Greater Duwamish";"community, public safety";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Beacon Hill Blog";"http://beaconhill.seattle.wa.us/";"Beacon Hill";"Greater Duwamish";"news, events, food, nightlife, criminal activity";"commercial";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Beacon Hill Burglaries";"http://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=107398592337461190820.000449fcf97ff8bfbe281&z=14or";"Beacon Hill";"Greater Duwamish";"criminal activity";"community";"email list";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Beacon Hill Community Site";"http://beaconhillcommunity.wetpaint.com/";"Beacon Hill";"Greater Duwamish";"news, announcements, community concerns";"commercial";"wiki";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Blogging Georgetown";"http://www.blogginggeorgetown.com/";"Georgetown";"Greater Duwamish";"news, events, 911 blotter";"commercial";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Blogging Georgetown";"http://www.facebook.com/blogginggeorgetown";"Georgetown";"Greater Duwamish";"news, events, 911 blotter";"community";"facebook page";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Georgetown Art Center";"http://georgetownartcenter.blogspot.com/";"Georgetown";"Greater Duwamish";"community arts";"community";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Georgetown Neighborhood";"http://www.georgetownneighborhood.com/";"Georgetown";"Greater Duwamish";"community council";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Georgetown Seattle";"http://groups.yahoo.com/group/Georgetown-Seattle/";"Georgetown";"Greater Duwamish";"community members";"community";"email list";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Jefferson Park Alliance";"http://www.cityofseattle.net/commnty/Beacon/groups/jpa/";"Beacon Hill";"Greater Duwamish";"community";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Beacon Hill";"http://beaconhill.komonews.com";"Beacon Hill";"Greater Duwamish";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Georgetown";"http://georgetown.komonews.com";"Georgetown";"Greater Duwamish";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Market On Wheels";"http://marketonwheels.wordpress.com/";"South Park";"Greater Duwamish";"farmers' market";"community";"blog";"S";"Seattle";"WA";;;;;;;;;;;;;;
"nbeaconhillneighbors";"http://groups.yahoo.com/group/nbeaconhillneighbors/";"Beacon Hill";"Greater Duwamish";"community members";"community";"email list";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"North Beacon Hill";"http://north-beacon-hill.blogspot.com/";"Beacon Hill";"Greater Duwamish";"community council";"community";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"North Beacon Hill Council";"http://www.cityofseattle.net/commnty/Beacon/groups/nbhc/";"Beacon Hill";"Greater Duwamish";"community group";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Seattle Industry";"http://www.seattleindustry.org/";"Industrial District";"Greater Duwamish";"seattle industry";"community";"website";"S";"Seattle";"WA";;;;;;;;;;;;;;
"SoDo Business Association";"http://www.sodobusinessassociation.org/";"Industrial District";"Greater Duwamish";"business association";"community";"website";"S";"Seattle";"WA";;;;;;;;;;;;;;
"South Park Seattle";"http://www.myspace.com/southparkseattle";"South Park";"Greater Duwamish";"neighborhood info";"community";"myspace";"S";"Seattle";"WA";;;;;;;;;;;;;;
"yoursouthpark";"http://groups.yahoo.com/group/yoursouthpark/";"South Park";"Greater Duwamish";"community members";"community";"email list";"S";"Seattle";"WA";;;;;;;;;;;;;;
"Cascade People's Center";"http://www.cascadepeoplescenter.org/";"South Lake Union";"Lake Union";"nonprofit";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Discover SLU";"http://www.discoverslu.com";"South Lake Union";"Lake Union";"news, events, shopping, dining";"commercial";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Discover SLU";"http://www.facebook.com/discoverslu";"South Lake Union";"Lake Union";"news, events, shopping, dining";"commercial";"facebook page";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Discover SLU";"http://www.twitter.com/southlakeunion";"South Lake Union";"Lake Union";"news, events, shopping, dining";"commercial";"twitter";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Eastlake Ave. ";"http://eastlakeave.neighborlogs.com/";"Eastlake";"Lake Union";"news, traffic, events, criminal activity";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Eastlake Ave. ";"http://twitter.com/eastlakeave";"Eastlake";"Lake Union";"updates on blog posts";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Eastlake Community Council";"http://www.eastlakeseattle.org/";"Eastlake";"Lake Union";"community council";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Eastlake Community Council";"http://www.facebook.com/group.php?gid=7145111961";"Eastlake";"Lake Union";"community council";"community";"facebook page";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Fremont Arts Council";"http://groups.yahoo.com/group/fremontartscouncil/";"Fremont";"Lake Union";"fremont arts council members";"community";"email list";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Fremont Arts Council";"http://www.fremontartscouncil.org/";"Fremont";"Lake Union";"communtiy group";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Fremont Chamber of Commerce";"http://www.fremontseattle.com/";"Fremont";"Lake Union";"chamber of commerce";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Fremont Universe";"http://twitter.com/fremontuniverse";"Fremont";"Lake Union";"news, events, food, reviews";"commercial";"twitter";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Fremont Universe";"http://www.facebook.com/pages/Fremont-Universe-Seattle/88279594341?ref=s";"Fremont";"Lake Union";"news, events, food, reviews";"commercial";"facebook page";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Fremont Universe";"http://www.fremontuniverse.com/";"Fremont";"Lake Union";"news, events, food, reviews";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Friends of Fremont Peak Park";"http://www.fremontpeakpark.org/";"Fremont";"Lake Union";"community organization";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Fremont";"http://fremont.komonews.com";"Fremont";"Lake Union";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - South Lake Union";"http://southlakeunion.komonews.com";"South Lake Union";"Lake Union";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"S Lake Union Friends and Neighbors Community Council";"http://www.slufan.org/";"South Lake Union";"Lake Union";"community council";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"South Lake Union Chamber of Commerce";"http://www.sluchamber.org/";"South Lake Union";"Lake Union";"chamber of commerce";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"The South Lake Union Community Blog";"http://www.thesouthlake.com/";"South Lake Union";"Lake Union";"news, events, personalized profile pages";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Friends of Discovery Park";"http://www.friendsdiscoverypark.org/";"Magnolia";"Magnolia/Queen Anne";"park issues";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Interbay District Blog";"http://www.interbaydistrict.com/";"Interbay";"Magnolia/Queen Anne";"news, sports";"community";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Interbay Neighborhood Association";"http://www.our-interbay.org/";"Interbay";"Magnolia/Queen Anne";"neighborhood association";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Magnolia";"http://magnolia.komonews.com";"Magnolia";"Magnolia/Queen Anne";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Queen Anne";"http://queenanne.komonews.com";"Queen Anne";"Magnolia/Queen Anne";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Magnolia Action Group";"http://www.orgsites.com/wa/mag/";"Magnolia";"Magnolia/Queen Anne";"planning issues";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Magnolia Chamber of Commerce";"http://www.magnoliachamber.org/";"Magnolia";"Magnolia/Queen Anne";"chamber of commerce";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Magnolia Historical Society";"http://www.magnoliahistoricalsociety.org/";"Magnolia";"Magnolia/Queen Anne";"historical society";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Magnolia is Really Part of Seattle";"http://sleeplessinmagnolia.ning.com/";"Magnolia";"Magnolia/Queen Anne";"planning issues";"community";"wiki";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Magnolia Neighborhood Planning Council";"http://magnolianpc.com/";"Magnolia";"Magnolia/Queen Anne";"neighborhood association";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Magnolia Voice";"http://twitter.com/magnoliavoice";"Magnolia";"Magnolia/Queen Anne";"news, events, criminal activity, food";"commercial";"twitter";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Magnolia Voice";"http://www.facebook.com/pages/Magnolia-Voice-Seattle/116057104388";"Magnolia";"Magnolia/Queen Anne";"news, events, criminal activity, food";"commercial";"facebook page";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Magnolia Voice";"http://www.magnoliavoice.com/";"Magnolia";"Magnolia/Queen Anne";"news, events, criminal activity, food";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Queen Anne Chamber of Commerce";"http://qachamber.org/";"Queen Anne";"Magnolia/Queen Anne";"chamber of commerce";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Queen Anne Community Council";"http://www.qacc.net/";"Queen Anne";"Magnolia/Queen Anne";"community council";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Queen Anne Examiner";"http://www.examiner.com/x-8856-Seattle-Queen-Anne-Hill-Examiner";"Queen Anne";"Magnolia/Queen Anne";"news, local issues";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Queen Anne Helpline";"http://queenannehelpline.org/index.php";"Queen Anne";"Magnolia/Queen Anne";"nonprofit";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Queen Anne Historical Society";"http://www.qahistory.org/";"Queen Anne";"Magnolia/Queen Anne";"historical society";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Queen Anne View";"http://www.queenanneview.com/";"Queen Anne";"Magnolia/Queen Anne";"news, events, reviews";"commercial";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"Rosiehood";"http://twitter.com/Roosiehood";"Roosevelt";"NE";"news, events, human interest, criminal activity";"community";"twitter";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Rosiehood";"http://www.facebook.com/pages/Roosevelt-Neighborhood-Blog/133948283288085";"Roosevelt";"NE";"news, events, human interest, criminal activity";"community";"facebook page";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Rosiehood";"http://www.roosiehood.com/";"Roosevelt";"NE";"news, events, human interest, criminal activity";"community";"blog";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Haller Lake Community Club";"http://www.hallerlake.info/welcome.html";"Haller Lake";"North";"community organization";"community";"website";"N";"Seattle";"WA";;;;;;;;;;;;;;
