"name","url","calendar_url","email","contact","type_group","Categories","description","notes","source","activity_level","audience_size","ownership","image","location","address","neighborhood","district","region","zipcode","city","state","area_code","latitude","longitude","location_geo","civic_taxonomy"
"KOMO Communities - North Seattle","http://northseattle.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"North Seattle","North","N",,"Seattle","WA",,,,,
"Lake City Live","http://www.lakecitylive.net/",,,,"blog","News, Criminal activity, Crime, Public Safety, Food, Drink, reviews",,,,,,"commercial",,,,"Lake City","North","NE",,"Seattle","WA",,,,,
"Maple Leaf Life","http://twitter.com/mapleleaflife",,,,"twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N ",,"Seattle","WA",,,,,
"Maple Leaf Life","http://www.facebook.com/pages/Seattle-WA/Maple-Leaf-Life/298056021657",,,,"facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Maple Leaf Life","http://www.mapleleaflife.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Northgate Chamber of Commerce","http://www.northgatechamber.com/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"Northgate","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://pinehurstseattle.org",,,,"blog","News, Events, issues",,,,,,"community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://twitter.com/pinehurstsea",,,,"twitter","News, Events, issues",,,,,,"community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://www.facebook.com/#!/group.php?gid=53590206898&v=wall&ref=search",,,,"facebook page","News, Events, issues",,,,,,"community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"The Maple Leafer","http://twitter.com/themapleleafer",,,,"twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"The Maple Leafer","http://www.facebook.com/pages/The-Maple-Leafer/110782042284727",,,,"facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"The Maple Leafer","http://www.themapleleafer.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Aurora Seattle","http://www.auroraseattle.com/",,,,"blog","News, traffic, planning",,,,,,"community",,,,"Regional Sites","Northeast","NE",,"Seattle","WA",,,,,
"Hawthorne Hills Community Website","http://www.seattle.gov/hawthornehills/index.htm",,,,"website","Community council",,,,,,"community",,,,"Hawthorne Hills","Northeast","NE",,"Seattle","WA",,,,,
"KOMO Communities - U-District","http://udistrict.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"KOMO Communities - View Ridge","http://viewridge.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"View Ridge","Northeast","NE",,"Seattle","WA",,,,,
"Laurelhurst Community Club","http://www.laurelhurstcc.com/",,,,"website","Community club",,,,,,"community",,,,"Laurelhurst","Northeast","NE",,"Seattle","WA",,,,,
"Magnuson Community Garden","http://cityofseattle.net/MAGNUSONGARDEN",,,,"website","Garden",,,,,,,,,,"Laurelhurst","Northeast","NE",,"Seattle","WA",,,,,
"Magnuson Environmental Stewardship Alliance","http://mesaseattle.org/",,,,"website","Park issues",,,,,,"community",,,,"Laurelhurst","Northeast","NE",,"Seattle","WA",,,,,
"Maple Leaf Community Council","http://www.mapleleafcommunity.org/",,,,"website","Community council, email list available",,,,,,"community",,,,"Maple Leaf","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna Blog","http://twitter.com/ravennablog",,,,"twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Food, Shopping",,,,,,"community",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna Blog","http://www.facebook.com/pages/Ravenna-Blog/116280421718247",,,,"facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Food, Shopping",,,,,,"community",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna Blog","http://www.ravennablog.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Food, Shopping",,,,,,"community",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna-Bryant Community Association","http://www.facebook.com/pages/Ravenna-Bryant-Community-Association/153638664651035",,,,"facebook page","Community association",,,,,,"community",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna-Bryant Community Association","http://www.ravennabryant.org/",,,,"website","Community association",,,,,,"community ",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Roosevelt Neighborhood Association","http://rooseveltseattle.org/default.aspx",,,,"website","Neighborhood association",,,,,,"community",,,,"Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"Roosevelt Neighborhood Association","http://www.facebook.com/group.php?gid=178766520060",,,,"facebook page","Neighborhood association",,,,,,"community",,,,"Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"Roosevelt Neighbors' Alliance","http://www.rooseveltneighborsalliance.org/main/Roosevelt_Neighbors_Alliance.html",,,,"website","Neighborhood association",,,,,,"community",,,,"Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"Roosevelt Seattle","http://twitter.com/roosieseattle",,,,"twitter","News, Events",,,,,,"community",,,,"Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"Sustainable Northeast Seattle","http://sustainableneseattle.ning.com/",,,,"ning","Community group",,,,,,"community",,,,"Wedgwood, Laurelhurst, Ravenna, Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"The Laurelhurst Blog","http://thelaurelhurstblog.blogspot.com/",,,,"blog","News, Events",,,,,,"community",,,,"Laurelhurst","Northeast","NE",,"Seattle","WA",,,,,
"The Wedgwood Blog","http://wedgwoodblog.spaces.live.com/default.aspx",,,,"blog","News, Events",,,,,,"commercial",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Thornton Creek Alliance","http://www.scn.org/tca/",,,,"website","Community group",,,,,,,,,,"Thornton Creek","Northeast","NE",,"Seattle","WA",,,,,
"U District Daily","http://www.udistrictdaily.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Business Improvement Area","http://www.udistrictchamber.org/UDBIA/index.html",,,,"website","Business association",,,,,,"community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Food Bank","http://www.facebook.com/pages/Seattle-WA/University-District-Food-Bank/47523824407",,,,"facebook page","Food bank",,,,,,"community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Food Bank","http://www.udistrictFoodbank.org/",,,,"website","Food bank",,,,,,"community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Seattle","http://www.udistrictchamber.org/GUCC/GUCC.html",,,,"website","Chamber of Commerce",,,,,,"community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Service Fund","http://www.udistrictchamber.org/udistrictservicefund/index.html",,,,"website","Nonprofit",,,,,,"community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood Block Watch","http://www.wedgwoodcc.org/wwbw/",,,,"website","Block watch",,,,,,"community",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood Community Council","http://www.wedgwoodcc.org/",,,,"website","Community council",,,,,,"community",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood Community Council","http://www.facebook.com/pages/Wedgwood-Community-Council/146730522040662",,,,"facebook page","Community council",,,,,,"community",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood View","http://twitter.com/wedgwoodview",,,,"twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood View","http://www.facebook.com/pages/Wedgwood-View/331236446338",,,,"facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood View","http://www.wedgwoodview.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Blue Ridge Club","http://www.blueridgeseattle.com/index.php",,,,"website","Homeowners club",,,,,,"community",,,,"Blue Ridge","Northwest",,,"Seattle","WA",,,,,
"Broadview Community Council","http://groups.google.com/group/broadview-community-council",,,,"email list","Community council",,,,,,"community",,,,"Broadview","Northwest","SW",,"Seattle","WA",,,,,
"Broadview Community Council","http://www.broadviewseattle.org/",,,,"blog","Community council",,,,,,"community",,,,"Broadview","Northwest","NW",,"Seattle","WA",,,,,
"Friends of Green Lake","http://www.friendsofgreenlake.org/",,,,"website","Neighborhood group",,,,,,"community",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"Greater Greenwood Bi-Ped Safety Coalition","http://bipedsafety.org/",,,,"website","Community group",,,,,,"community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenlake Community Council","http://www.greenlakecommunitycouncil.org/",,,,"website","Community council",,,,,,"community",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"Greenlake Community Wiki","http://greenlake.wetpaint.com/",,,,"wiki","Events, for sale, services",,,,,,"community",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Aurora Involved Neighbors","http://www.gainseattle.com/",,,,"website","Neighborhood association",,,,,,"community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Blog","http://www.greenwoodblog.com/",,,,"blog","News, Events",,,,,,"commercial",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Community Council","http://www.greenwoodcommunitycouncil.org/about/",,,,"website","Community council",,,,,,"community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Community Council Announcements","http://groups.yahoo.com/group/Greenwood_News/",,,,"email list","Community council",,,,,,"community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Community Council Discussion","http://groups.yahoo.com/group/greenwood-discussion/",,,,"email list","Community council",,,,,,"community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Phinney Chamber of Commerce","http://www.greenwood-phinney.com/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"KOMO Communities - Ballard","http://ballard.komoNews.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Ballard","Northwest","NW",,"Seattle","WA",,,,,
"KOMO Communities - Green Lake","http://greenlake.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"KOMO Communities - Greenwood-Phinney","http://greenwood-phinney.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Greenwood-Phinney","Northwest","NW",,"Seattle","WA",,,,,
"KOMO Communities - Wallingford","http://wallingford.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Licton Springs Neighborhood ","http://www.lictonsprings.org/",,,,"website","Neighborhood council",,,,,,"community",,,,"Licton Springs","Northwest","NW",,"Seattle","WA",,,,,
"My Greenlake Blog","http://www.mygreenlake.com/",,,,"blog","News, Events, Food",,,,,,"commercial",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"MyWallingford","http://mywallingford.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"MyWallingford","http://twitter.com/mywallingford",,,,"twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"MyWallingford","http://www.facebook.com/MyWallingford?ref=ts",,,,"facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Northwest District Council","http://www.nwdistrictcouncil.org/",,,,"website","District council",,,,,,"community",,,,"Northwest","Northwest","NW",,"Seattle","WA",,,,,
"Phinney Neighborhood Association","http://phinneycenter.blogspot.com/",,,,"blog","Association News and Events",,,,,,"community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Phinney Neighborhood Association","http://www.facebook.com/group.php?gid=42314991794",,,,"facebook page","Neighborhood association",,,,,,"community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Phinney Neighborhood Association","http://www.phinneycenter.org/",,,,"website","Neighborhood association",,,,,,"community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Phinney Ridge Ecovillage","http://www.phinneyecovillage.net/",,,,"website","Community group",,,,,,"community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"PhinneyWood","http://www.phinneywood.com/",,,,"blog","News, Events, Food, Shopping",,,,,,"commercial",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Solid Ground","http://www.facebook.com/pages/Solid-Ground/20665239656",,,,"facebook page","Nonprofit",,,,,,"community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Solid Ground","http://www.solid-ground.org/Pages/Default.aspx",,,,"website","Nonprofit",,,,,,"community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Sustainable Greenwood/Phinney","http://web.me.com/annecann1/iWeb/Site/Home.html",,,,"website","Sustainability",,,,,,"community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Vision Greenwood Park Seattle","http://www.facebook.com/pages/Vision-Greenwood-Park-Seattle/165995713450762",,,,"facebook page","Park issues, Events, neighborhood issues, neighborhood planning",,,,,,"community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford Chamber of Commerce","http://wallingfordchamber.org/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford Community Council","http://council.iactivesite.com/",,,,"website","Community council",,,,,,"community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford Seattle Blog","http://twitter.com/wallingford",,,,"twitter","News, Events, advice",,,,,,"community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford Seattle Blog","http://wallingfordseattle.tumblr.com/",,,,"blog","News, Events, advice",,,,,,"community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford.org","http://www.wallingford.org/",,,,"website","Neighborhood group",,,,,,"community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallyhood - Wallingford Seattle Blog","http://twitter.com/wallyhood",,,,"twitter","News, Events",,,,,,"commercial",,,,"Wallingford","Northwest","NW ",,"Seattle","WA",,,,,
"Wallyhood - Wallingford Seattle Blog","http://www.wallyhood.org/",,,,"blog","News, Events",,,,,,"commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Bike Works!","http://www.bikeworks.org/",,,,"website","Community group",,,,,,,,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia Citizens","http://columbiacitizens.net/",,,,"wiki","Neighborhood community site, buying, selling, restaurants, favorite places",,,,,,"community",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia Citizens","http://twitter.com/CCitizens",,,,"twitter","Twitter, columbia citizens",,,,,,"community",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia Citizens","http://www.facebook.com/pages/Columbia-Citizens/48558627705",,,,"facebook page","Neighborhood community site, buying, selling, restaurants, favorite places",,,,,,"community",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia City Blog","http://www.columbiacityblog.com/",,,,"blog","News, Events, Food, Shopping",,,,,,"commercial",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia City, Seattle","http://www.columbiacityseattle.com/",,,,"website","Business association",,,,,,"community",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia City: Rainier Valley","http://www.rainiervalley.org/",,,,"website","Portal",,,,,,"community",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"Friends of Seward Park","http://www.sewardpark.org/",,,,"website","Park issues",,,,,,"community",,,,"Seward Park","Southeast","SE",,"Seattle","WA",,,,,
"Hillman City Neighborhood Alliance","http://www.hillmancity.org/",,,,"website","Neighborhood alliance",,,,,,,,,,"Hillman City","Southeast","SE",,"Seattle","WA",,,,,
"KOMO Communities - Columbia City","http://columbiacity.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"KOMO Communities - Rainier Valley","http://rainiervalley.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Food, Shopping",,,,,,"commercial",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"MLK Business Association","http://www.mlkba.org/",,,,"website","Business association",,,,,,"community",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"Mount Baker Community Club","http://groups.yahoo.com/group/MBCCCommunityNotices/",,,,"email list","Community club",,,,,,,,,,"Mount Baker","Southeast","SE",,"Seattle","WA",,,,,
"Mount Baker Neighborhood ","http://www.mountbaker.org/index.php",,,,"website","Community group",,,,,,"community",,,,"Mount Baker","Southeast","SE",,"Seattle","WA",,,,,
"New Holly Neighborhood Campus","http://www.newholly.org/",,,,"website","Services portal",,,,,,"community",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"New Rainier Vista","http://newrainiervista.com/public/about/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"community",,,,"Rainier Beach","Southeast","SE",,"Seattle","WA",,,,,
"Othello Neighborhood Association","http://othello.talkspot.com/",,,,"website","Neighborhood association",,,,,,"community",,,,"Othello","Southeast","SE",,"Seattle","WA",,,,,
"Rainier Beach Community Empowerment Coalition","http://twitter.com/rainierbeach",,,,"twitter","News, Events, issues",,,,,,"community",,,,"Rainier Beach","Southeast","SE",,"Seattle","WA",,,,,
"Rainier Beach Community Empowerment Coalition","http://www.rbcoalition.org/",,,,"blog","News, Events, issues",,,,,,"community",,,,"Rainier Beach","Southeast","SE",,"Seattle","WA",,,,,
"Rainier Valley Historical Society","http://www.rainiervalleyhistory.org/",,,,"website","Historical society",,,,,,"community",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"Rainier Valley Post","http://www.rainiervalleypost.com/",,,,"blog","News, Events, 911 blotter, Food, reviews",,,,,,"commercial",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"Seattle's Othello Neighborhood","http://othelloneighborhood.org/default.aspx",,,,"website","Shared community group website",,,,,,"community",,,,"Othello","Southeast","SE",,"Seattle","WA",,,,,
"Southeast District Council","http://sedcseattle.wordpress.com/",,,,"blog","District council",,,,,,"community",,,,"Rainier Valley, Columbia City, Hillman City, Othello, Rainier Beach, Mount Baker","Southeast","SE",,"Seattle","WA",,,,,
"Southend Seattle","http://southendseattle.com",,,,"blog","News, Events, Human interest",,,,,,"community",,,,"Beacon Hill, Mount Baker, Genesee, Georgetown, Columbia City, Hillman City, Lakewood-Seward Park, Rainier Beach, Bryn Mawr- Skyway, Lakeridge, South Park, Allentown","Southeast, Greater Duwamish","SE, SW",,"Seattle","WA",,,,,
"Admiral Neighborhood Association","http://groups.yahoo.com/group/AdmiralNeighborhood/",,,,"email list","Neighborhood association",,,,,,"community",,,,"Admiral (West Seattle)","Southwest","SW",,"Seattle","WA",,,,,
"Alki News","http://groups.yahoo.com/group/alkibeachcommunity/",,,,"email list","Community councl, alki community council, residents, alki beach neighborhood",,,,,,"community",,,,"Alki","Southwest","SW",,"Seattle","WA",,,,,
"Alki News/Alki Community Council","http://alkiNews.wordpress.com/",,,,"blog","News, council meetings",,,,,,"community",,,,"Alki","Southwest","SW",,"Seattle","WA",,,,,
"ArtsWest","http://www.artswest.org/?q=node/28",,,,"website","Arts",,,,,,"community",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"Beach Drive Blog","http://www.mortgageporter.com/beach_drive/",,,,"blog","News, home sales, crime",,,,,,"commercial",,,,"Alki","Southwest","SW",,"Seattle","WA",,,,,
"Fauntleroy Community Association","http://fauntleroy.net/",,,,"website","Community association",,,,,,"community",,,,"Fauntleroy","Southwest","SW",,"Seattle","WA",,,,,
"Fauntleroy Community Association","http://www.facebook.com/pages/Seattle-WA/Fauntleroy-Community-Association/63181596775?v=wall&viewas=1779772562&ref=ts",,,,"facebook page","Community association",,,,,,"community",,,,"Fauntleroy","Southwest","SW",,"Seattle","WA",,,,,
"Genesee-Schmitz Neighborhood Council","http://genesee-schmitz.org/",,,,"blog","Neighborhood council",,,,,,"community",,,,"Genesee-Schmitz","Southwest","SW",,"Seattle","WA",,,,,
"Junction Neighborhood Organization","http://www.wsjuno.com/",,,,"blog","Events, meetings",,,,,,"community",,,,"Junction","Southwest","W",,"Seattle","WA",,,,,
"KOMO Communities - West Seattle","http://westseattle.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"Morgan Junction Community Association","http://morganjunction.org/",,,,"website","Community association",,,,,,"community",,,,"Morgan Junction","Southwest","SW",,"Seattle","WA",,,,,
"Official Website of the High Point Neighborhood","http://www.highpointneighborhood.org/",,,,"website","Neighborhood association",,,,,,"community",,,,"High Point","Southwest","SW",,"Seattle","WA",,,,,
"Senior Center West Seattle","http://www.sc-ws.org/julaug09/",,,,"website","Senior center",,,,,,"community",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"Senior Services","http://www.seniorservices.org/",,,,"website","Senior services",,,,,,"community",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"The Junction: Downtown West Seattle","http://www.wsjunction.com/",,,,"website","Neighborhood association",,,,,,"community",,,,"Junction","Southwest","W",,"Seattle","WA",,,,,
"West Seattle Chamber of Commerce","http://www.wschamber.com/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"White Center Technology Programs","http://technology.program.googlepages.com/",,,,"website","Tech resources",,,,,,"community",,,,"White Center","Southwest","SW",,"Seattle","WA",,,,,
"Sustainable West Seattle","http://www.sustainablewestseattle.org/",,,,"blog","Events, issues, Food, neighborhood planning",,,,,,"community",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Blog","http://twitter.com/westseattleblog",,,,"twitter","News, Events, Human interest",,,,,,"commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Blog","http://westseattleblog.com/",,,,"blog","News, Events, Human interest",,,,,,"commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Blog","http://www.facebook.com/westseattleblog",,,,"facebook page","Profile page, west seattle blog",,,,,,"commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Herald","http://twitter.com/westseattleher",,,,"twitter","Online Newspaper",,,,,,"commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Herald","http://www.facebook.com/wsherald",,,,"facebook page","Online Newspaper",,,,,,"commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Herald","http://www.westseattleherald.com/",,,,"website","Online Newspaper",,,,,,"commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
